d_ratio,k_left
0.39999999999999997,10
0.84375,9
0.1839080459770115,8
1.8941176470588237,7
1.4516129032258065,6
0.425531914893617,5
0.5581395348837209,4
0.9729729729729729,3
0.96,2
0.6,10
1.4361702127659575,9
1.3164556962025318,8
0.21212121212121215,7
0.18750000000000003,6
1.6935483870967745,5
1.0731707317073174,4
0.8000000000000002,3
0.5454545454545456,2
1.4000000000000001,10
0.10465116279069767,9
1.3176470588235296,8
0.1971830985915493,7
0.4347826086956522,6
0.6250000000000001,5
1.5714285714285716,4
0.6176470588235295,3
0.22222222222222224,2
0.3,10
1.4845360824742269,9
1.1851851851851851,8
0.9130434782608696,7
1.1,6
0.10204081632653061,5
0.75,4
1.076923076923077,3
0.4,2
1.2,10
1.534090909090909,9
0.3287671232876712,8
0.2,7
0.5294117647058824,6
0.5645161290322582,5
0.1454545454545455,4
0.9056603773584909,3
0.7567567567567572,2
1.0999999999999999,10
1.7191011235955058,9
0.22222222222222224,8
1.4000000000000004,7
0.8571428571428572,6
0.9375000000000001,5
1.5384615384615388,4
1.8750000000000004,3
1.1111111111111123,2
1.8,10
1.6463414634146345,9
1.313432835820896,8
1.6250000000000007,7
1.534883720930233,6
0.6250000000000002,5
0.7142857142857146,4
0.9130434782608702,3
0.7500000000000006,2
1.3,10
1.6551724137931034,9
1.1267605633802817,8
1.262295081967213,7
0.8400000000000001,6
0.23255813953488375,5
1.2682926829268293,4
0.5357142857142858,3
0.2608695652173913,2
1.9,10
0.9999999999999999,9
1.8888888888888888,8
0.509090909090909,7
0.3529411764705882,6
0.3125,5
0.1777777777777778,4
0.13953488372093026,3
1.1219512195121955,2
1.5999999999999996,10
0.21428571428571425,9
1.6585365853658534,8
1.3999999999999997,7
0.3461538461538461,6
1.3265306122448977,5
0.9999999999999997,4
1.2222222222222217,3
0.7499999999999993,2
1.0999999999999999,10
1.2134831460674158,9
1.3506493506493507,8
1.09375,7
0.7777777777777778,6
1.4893617021276597,5
1.3333333333333333,4
0.9545454545454545,3
1.4666666666666666,2
1.4000000000000001,10
1.569767441860465,9
1.0140845070422535,8
0.33870967741935487,7
1.7288135593220342,6
0.7142857142857143,5
1.3333333333333335,4
1.3750000000000004,3
0.3076923076923078,2
1.4000000000000004,10
1.4651162790697678,9
1.4444444444444449,8
0.7118644067796611,7
1.3584905660377362,6
0.12195121951219517,5
0.5000000000000003,4
0.7714285714285718,3
1.3846153846153857,2
1.4000000000000001,10
0.31395348837209297,9
1.4457831325301205,8
1.7500000000000004,7
1.2941176470588238,6
0.7500000000000001,5
0.5882352941176472,4
0.413793103448276,3
0.16000000000000006,2
0.09999999999999999,10
1.0,9
0.2727272727272727,8
0.5764705882352942,7
1.6923076923076923,6
0.17857142857142855,5
1.5555555555555554,4
1.5454545454545452,3
0.37499999999999983,2
1.5999999999999999,10
1.392857142857143,9
1.4647887323943662,8
1.6896551724137934,7
1.363636363636364,6
0.8823529411764707,5
0.8571428571428572,4
0.27272727272727276,3
0.1,2
0.7999999999999999,10
1.7608695652173911,9
1.837837837837838,8
1.7192982456140355,7
1.6744186046511629,6
1.7741935483870972,5
1.6000000000000003,4
0.2500000000000001,3
1.636363636363637,2
1.4999999999999996,10
1.376470588235294,9
0.22222222222222215,8
0.7,7
1.1428571428571426,6
0.2941176470588235,5
1.9166666666666663,4
1.7999999999999992,3
0.19999999999999976,2
0.49999999999999994,10
1.3263157894736841,9
0.09876543209876541,8
1.0499999999999998,7
1.0588235294117645,6
1.339285714285714,5
0.5853658536585363,4
1.7999999999999992,3
0.4285714285714281,2
0.39999999999999997,10
1.125,9
0.1904761904761905,8
0.5975609756097562,7
1.68,6
0.18518518518518517,5
1.6923076923076923,4
0.19999999999999996,3
1.5714285714285714,2
0.4789999999999999,10
1.1693099464341978,9
1.5422501207146306,8
1.5021683864214144,7
0.6911652703731911,6
0.3658274155369055,5
1.3967959136289758,4
1.958615768819122,3
1.395683453237409,2
0.477,10
0.32227239315341805,9
1.8906556305815725,8
1.7030804335424983,7
1.9856765925367506,6
1.976056338028169,5
0.696786213320913,4
0.1370558375634518,3
0.5756501182033098,2
0.445,10
0.09984301412872841,9
1.3580273044766642,8
1.4847673677501596,7
1.21436660734509,6
1.5963488843813392,5
1.2014302741358764,4
0.530238500851789,3
0.4262803931712366,2
0.9839999999999998,10
1.7339174800354924,9
1.6441818931171863,8
0.8715199723326992,7
1.2739482520244914,6
0.7447342026078234,5
0.9628756629345903,4
0.8335273573923165,3
0.35034927458355714,2
1.9529999999999998,10
0.513359015782279,9
1.6763310490247758,8
0.578859619873291,7
0.5561613958560522,6
0.6069711538461537,5
1.241222070223438,4
0.5801652892561981,3
0.2811475409836065,2
0.4440000000000001,10
0.4360611134365844,9
1.2220389310458597,8
0.8086708203530634,7
1.7540358086292933,6
1.463085856491083,5
1.8575197889182067,4
0.7635467980295573,3
0.6182085168869317,2
1.9820000000000004,10
0.09990022449488653,9
0.11804767309875144,8
0.6406810035842296,7
0.25362829364520234,6
1.3425040459026047,5
1.3748994368463403,4
1.7909898866074183,3
0.22661596958174962,2
0.1,10
0.17454545454545453,9
1.7750309023485784,8
0.9127614508869474,7
1.7390774851575583,6
0.7427652733118971,5
1.7693856998992952,4
0.09887133182844245,3
0.8263305322128852,2
1.347,10
1.708887091182249,9
0.0992867332382311,8
1.675429726996967,7
0.6517280668439044,6
1.3740945888368132,5
1.9964747356051706,4
0.7460410557184755,3
1.0757220921155353,2
0.655,10
1.6526484751203854,9
1.5897234237776903,8
1.366105022084083,7
1.3317073170731706,6
1.5190700104493207,5
0.6138836772983113,4
0.1436170212765957,3
1.057728119180633,2
1.7290000000000003,10
0.8661588683351471,9
1.0552508361204014,8
1.6440129449838192,7
1.7413897280966775,6
1.589103291713962,5
0.7171381031613981,4
1.608717688798785,3
0.417486338797815,2
0.11599999999999999,10
0.3268919465803318,9
0.7197900262467192,8
1.3534840793724041,7
0.1433066361556064,6
0.7831501831501831,5
0.600416956219597,4
1.9151676206050694,3
1.7388355002826454,2
0.10700000000000001,10
1.9941372687759022,9
0.6835475912219192,8
1.2632400965497657,7
0.9532224532224531,6
1.7291452111225538,5
1.424433249370277,4
0.7525672371638141,3
0.8655352480417752,2
1.254,10
1.2585181797393095,9
0.4572643892064336,8
0.6700972790074721,7
0.8933582787652012,6
1.230078769005312,5
1.9630709426627793,4
1.1063931297709921,3
0.967498110355253,2
1.858,10
1.4458364038319826,9
0.09950248756218907,8
0.7135871981034227,7
1.001814882032668,6
0.49415725886314127,5
1.965714285714286,4
1.244598098530683,3
1.2451994091580507,2
1.472,10
1.2600844277673546,9
0.09926370329970002,8
0.32762667403009804,7
0.28418308227114714,6
1.0339060361867112,5
1.721295763848955,4
1.0063930013458948,3
0.7837974683544301,2
1.6179999999999999,10
1.6675017895490336,9
1.9095035876409434,8
1.3127524523946914,7
0.09943181818181819,6
0.12397688974482429,5
0.6230560355467787,4
0.10000000000000002,3
0.4773139745916517,2
1.479,10
0.9474240112662835,9
1.3913955928646382,8
1.9961892664337892,7
1.1021768103065308,6
1.171428571428572,5
0.20326936744847202,4
0.936727817296893,3
1.130103429504628,2
1.2409999999999999,10
1.3039159721429383,9
1.0018691588785045,8
1.8173076923076918,7
1.8392084106369813,6
0.6569560047562422,5
1.0472279260780282,4
0.667593880389429,3
0.1669648181276086,2
0.7689999999999999,10
1.3288917777055573,9
0.30910015251652256,8
1.2965362242199892,7
1.9987019308778187,6
1.8941605839416054,5
0.6940853897375632,4
1.1189573459715632,3
1.6205593348450473,2
0.91,10
0.2376237623762376,9
1.609039548022599,8
0.4158415841584158,7
1.2270676691729325,6
0.24574669187145562,5
1.6381709741550698,4
1.565656565656566,3
0.6478873239436623,2
1.75,10
1.3963636363636365,9
0.8493543758967002,8
0.31460674157303375,7
1.9764705882352942,6
1.754385964912281,5
1.652509652509653,4
1.0855263157894741,3
0.3917525773195879,2
0.4800000000000001,10
1.654411764705883,9
0.5765765765765768,8
0.9708737864077673,7
0.09661835748792276,6
0.7283142389525371,5
1.4789272030651346,4
0.8480243161094231,3
1.9745762711864423,2
1.08,10
0.16143497757847536,9
0.14611872146118723,8
1.66046511627907,7
1.2896341463414633,6
1.922330097087379,5
0.20189274447949532,4
0.29900332225913623,3
1.564575645756458,2
0.8199999999999997,10
0.6176470588235292,9
1.160233918128655,8
1.9343365253077975,7
0.09073724007561436,6
1.660268714011516,5
1.93103448275862,4
1.9499999999999988,3
0.9523809523809508,2
0.09999999999999998,10
0.6636363636363635,9
0.8113413304252998,8
1.5970873786407762,7
1.9339622641509426,6
1.8677494199535956,5
0.23703703703703688,4
1.098425196850393,3
1.6273291925465823,2
1.8,10
1.404878048780488,9
1.8150289017341044,8
1.4392523364485985,7
0.8894117647058827,6
0.9116022099447518,5
0.21621621621621634,4
0.7607142857142862,3
0.5454545454545459,2
0.5299999999999999,10
1.976768743400211,9
1.7970230040595392,8
1.5636998254799297,7
0.09438202247191008,6
0.7077625570776253,5
0.9255319148936166,4
1.5570934256055355,3
0.6762589928057546,2
1.5,10
1.5882352941176472,9
1.4628571428571429,8
1.737762237762238,7
0.1813953488372093,6
1.8705035971223023,5
0.996168582375479,4
1.8673469387755102,3
1.4594594594594597,2
1.97,10
1.053549190535492,9
0.09026798307475317,8
1.567760342368046,7
0.44117647058823534,6
0.902777777777778,5
0.7263922518159808,4
0.23076923076923087,3
1.3974358974358978,2
0.23,10
1.9805527123848514,9
1.1548556430446197,8
1.2239263803680982,7
1.2602230483271375,6
0.4705882352941177,5
1.1844155844155844,4
0.0996309963099631,3
1.7404580152671754,2
0.61,10
1.5814696485623,9
1.4573643410852712,8
1.5813586097946288,7
1.9591836734693877,6
1.2727272727272727,5
